time,size,protocol,src_IP,dst_IP,src_port,dst_port,flags,attack_type
0.000000,44,,,,,,,unknown
0.000037,44,,,,,,,unknown
0.000771,56,TCP,10.0.0.10,10.0.0.1,,,,fin_ddos
0.000778,56,TCP,10.0.0.1,10.0.0.10,,,,fin_ddos
0.003950,56,TCP,10.0.0.10,10.0.0.1,,,,fin_ddos
0.003955,56,TCP,10.0.0.1,10.0.0.10,,,,fin_ddos
0.007176,56,TCP,10.0.0.10,10.0.0.1,,,,fin_ddos
0.007181,56,TCP,10.0.0.1,10.0.0.10,,,,fin_ddos
0.008740,56,TCP,10.0.0.10,10.0.0.1,,,,fin_ddos
0.008753,56,TCP,10.0.0.1,10.0.0.10,,,,fin_ddos
0.009966,56,TCP,10.0.0.10,10.0.0.1,,,,fin_ddos
0.009970,56,TCP,10.0.0.1,10.0.0.10,,,,fin_ddos
0.011184,56,TCP,10.0.0.10,10.0.0.1,,,,fin_ddos
0.011188,56,TCP,10.0.0.1,10.0.0.10,,,,fin_ddos
0.013926,56,TCP,10.0.0.10,10.0.0.1,,,,fin_ddos
0.013932,56,TCP,10.0.0.1,10.0.0.10,,,,fin_ddos
0.014473,44,,,,,,,unknown
0.014482,44,,,,,,,unknown
0.014740,56,TCP,10.0.0.11,10.0.0.1,,,,fin_ddos
0.014744,56,TCP,10.0.0.1,10.0.0.11,,,,fin_ddos
0.019613,56,TCP,10.0.0.10,10.0.0.1,,,,fin_ddos
0.019618,56,TCP,10.0.0.1,10.0.0.10,,,,fin_ddos
0.019639,56,TCP,10.0.0.10,10.0.0.1,,,,fin_ddos
0.019641,56,TCP,10.0.0.1,10.0.0.10,,,,fin_ddos
0.020587,56,TCP,10.0.0.11,10.0.0.1,,,,fin_ddos
0.020590,56,TCP,10.0.0.1,10.0.0.11,,,,fin_ddos
0.020608,56,TCP,10.0.0.11,10.0.0.1,,,,fin_ddos
0.020610,56,TCP,10.0.0.1,10.0.0.11,,,,fin_ddos
0.023936,56,TCP,10.0.0.10,10.0.0.1,,,,fin_ddos
0.023940,56,TCP,10.0.0.1,10.0.0.10,,,,fin_ddos
0.023958,56,TCP,10.0.0.11,10.0.0.1,,,,fin_ddos
0.023960,56,TCP,10.0.0.1,10.0.0.11,,,,fin_ddos
0.023976,56,TCP,10.0.0.10,10.0.0.1,,,,fin_ddos
0.023978,56,TCP,10.0.0.1,10.0.0.10,,,,fin_ddos
0.027376,56,TCP,10.0.0.10,10.0.0.1,,,,fin_ddos
0.027384,56,TCP,10.0.0.1,10.0.0.10,,,,fin_ddos
0.027407,56,TCP,10.0.0.11,10.0.0.1,,,,fin_ddos
0.027409,56,TCP,10.0.0.1,10.0.0.11,,,,fin_ddos
0.028488,56,TCP,10.0.0.10,10.0.0.1,,,,fin_ddos
0.028492,56,TCP,10.0.0.1,10.0.0.10,,,,fin_ddos
0.029741,56,TCP,10.0.0.11,10.0.0.1,,,,fin_ddos
0.029745,56,TCP,10.0.0.1,10.0.0.11,,,,fin_ddos
0.029913,56,TCP,10.0.0.10,10.0.0.1,,,,fin_ddos
