time,size,protocol,src_IP,dst_IP,src_port,dst_port,flags,attack_type
0.000000,44,,,,,,,unknown
0.000014,44,,,,,,,unknown
0.000685,56,TCP,10.0.0.10,10.0.0.1,1352,80,F,fin_flood
0.000693,56,TCP,10.0.0.1,10.0.0.10,80,1352,RA,fin_flood
0.002469,56,TCP,10.0.0.10,10.0.0.1,1353,80,F,fin_flood
0.002474,56,TCP,10.0.0.1,10.0.0.10,80,1353,RA,fin_flood
0.004197,56,TCP,10.0.0.10,10.0.0.1,1354,80,F,fin_flood
0.004201,56,TCP,10.0.0.1,10.0.0.10,80,1354,RA,fin_flood
0.006027,56,TCP,10.0.0.10,10.0.0.1,1355,80,F,fin_flood
0.006038,56,TCP,10.0.0.1,10.0.0.10,80,1355,RA,fin_flood
0.007848,56,TCP,10.0.0.10,10.0.0.1,1356,80,F,fin_flood
0.007934,56,TCP,10.0.0.1,10.0.0.10,80,1356,RA,fin_flood
0.008585,56,TCP,10.0.0.10,10.0.0.1,1357,80,F,fin_flood
0.008589,56,TCP,10.0.0.1,10.0.0.10,80,1357,RA,fin_flood
0.009893,56,TCP,10.0.0.10,10.0.0.1,1358,80,F,fin_flood
0.009898,56,TCP,10.0.0.1,10.0.0.10,80,1358,RA,fin_flood
0.011052,56,TCP,10.0.0.10,10.0.0.1,1359,80,F,fin_flood
0.011056,56,TCP,10.0.0.1,10.0.0.10,80,1359,RA,fin_flood
0.012105,56,TCP,10.0.0.10,10.0.0.1,1360,80,F,fin_flood
0.012109,56,TCP,10.0.0.1,10.0.0.10,80,1360,RA,fin_flood
0.013353,56,TCP,10.0.0.10,10.0.0.1,1361,80,F,fin_flood
0.013357,56,TCP,10.0.0.1,10.0.0.10,80,1361,RA,fin_flood
0.014514,56,TCP,10.0.0.10,10.0.0.1,1362,80,F,fin_flood
0.014518,56,TCP,10.0.0.1,10.0.0.10,80,1362,RA,fin_flood
0.015674,56,TCP,10.0.0.10,10.0.0.1,1363,80,F,fin_flood
0.015677,56,TCP,10.0.0.1,10.0.0.10,80,1363,RA,fin_flood
0.016740,56,TCP,10.0.0.10,10.0.0.1,1364,80,F,fin_flood
0.016743,56,TCP,10.0.0.1,10.0.0.10,80,1364,RA,fin_flood
0.017946,56,TCP,10.0.0.10,10.0.0.1,1365,80,F,fin_flood
0.017950,56,TCP,10.0.0.1,10.0.0.10,80,1365,RA,fin_flood
0.019083,56,TCP,10.0.0.10,10.0.0.1,1366,80,F,fin_flood
0.019086,56,TCP,10.0.0.1,10.0.0.10,80,1366,RA,fin_flood
0.020199,56,TCP,10.0.0.10,10.0.0.1,1367,80,F,fin_flood
0.020202,56,TCP,10.0.0.1,10.0.0.10,80,1367,RA,fin_flood
0.021421,56,TCP,10.0.0.10,10.0.0.1,1368,80,F,fin_flood
0.021425,56,TCP,10.0.0.1,10.0.0.10,80,1368,RA,fin_flood
0.022558,56,TCP,10.0.0.10,10.0.0.1,1369,80,F,fin_flood
0.022563,56,TCP,10.0.0.1,10.0.0.10,80,1369,RA,fin_flood
0.024040,56,TCP,10.0.0.10,10.0.0.1,1370,80,F,fin_flood
0.024063,56,TCP,10.0.0.1,10.0.0.10,80,1370,RA,fin_flood
0.025428,56,TCP,10.0.0.10,10.0.0.1,1371,80,F,fin_flood
0.025434,56,TCP,10.0.0.1,10.0.0.10,80,1371,RA,fin_flood
0.026418,56,TCP,10.0.0.10,10.0.0.1,1372,80,F,fin_flood
0.026422,56,TCP,10.0.0.1,10.0.0.10,80,1372,RA,fin_flood
0.027625,56,TCP,10.0.0.10,10.0.0.1,1373,80,F,fin_flood
0.027629,56,TCP,10.0.0.1,10.0.0.10,80,1373,RA,fin_flood
0.028742,56,TCP,10.0.0.10,10.0.0.1,1374,80,F,fin_flood
0.028745,56,TCP,10.0.0.1,10.0.0.10,80,1374,RA,fin_flood
0.029942,56,TCP,10.0.0.10,10.0.0.1,1375,80,F,fin_flood
0.029946,56,TCP,10.0.0.1,10.0.0.10,80,1375,RA,fin_flood
0.031086,56,TCP,10.0.0.10,10.0.0.1,1376,80,F,fin_flood
0.031090,56,TCP,10.0.0.1,10.0.0.10,80,1376,RA,fin_flood
0.032188,56,TCP,10.0.0.10,10.0.0.1,1377,80,F,fin_flood
0.032192,56,TCP,10.0.0.1,10.0.0.10,80,1377,RA,fin_flood
0.033391,56,TCP,10.0.0.10,10.0.0.1,1378,80,F,fin_flood
0.033395,56,TCP,10.0.0.1,10.0.0.10,80,1378,RA,fin_flood
0.034559,56,TCP,10.0.0.10,10.0.0.1,1379,80,F,fin_flood
0.034563,56,TCP,10.0.0.1,10.0.0.10,80,1379,RA,fin_flood
0.035682,56,TCP,10.0.0.10,10.0.0.1,1380,80,F,fin_flood
0.035686,56,TCP,10.0.0.1,10.0.0.10,80,1380,RA,fin_flood
0.036726,56,TCP,10.0.0.10,10.0.0.1,1381,80,F,fin_flood
0.036729,56,TCP,10.0.0.1,10.0.0.10,80,1381,RA,fin_flood
0.038014,56,TCP,10.0.0.10,10.0.0.1,1382,80,F,fin_flood
0.038018,56,TCP,10.0.0.1,10.0.0.10,80,1382,RA,fin_flood
0.039158,56,TCP,10.0.0.10,10.0.0.1,1383,80,F,fin_flood
0.039162,56,TCP,10.0.0.1,10.0.0.10,80,1383,RA,fin_flood
0.040858,56,TCP,10.0.0.10,10.0.0.1,1384,80,F,fin_flood
0.040890,56,TCP,10.0.0.1,10.0.0.10,80,1384,RA,fin_flood
0.041788,56,TCP,10.0.0.10,10.0.0.1,1385,80,F,fin_flood
0.041792,56,TCP,10.0.0.1,10.0.0.10,80,1385,RA,fin_flood
0.042892,56,TCP,10.0.0.10,10.0.0.1,1386,80,F,fin_flood
0.042896,56,TCP,10.0.0.1,10.0.0.10,80,1386,RA,fin_flood
0.044006,56,TCP,10.0.0.10,10.0.0.1,1387,80,F,fin_flood
0.044010,56,TCP,10.0.0.1,10.0.0.10,80,1387,RA,fin_flood
0.045209,56,TCP,10.0.0.10,10.0.0.1,1388,80,F,fin_flood
0.045213,56,TCP,10.0.0.1,10.0.0.10,80,1388,RA,fin_flood
0.046347,56,TCP,10.0.0.10,10.0.0.1,1389,80,F,fin_flood
0.046351,56,TCP,10.0.0.1,10.0.0.10,80,1389,RA,fin_flood
0.047490,56,TCP,10.0.0.10,10.0.0.1,1390,80,F,fin_flood
0.047494,56,TCP,10.0.0.1,10.0.0.10,80,1390,RA,fin_flood
0.048570,56,TCP,10.0.0.10,10.0.0.1,1391,80,F,fin_flood
0.048574,56,TCP,10.0.0.1,10.0.0.10,80,1391,RA,fin_flood
0.049769,56,TCP,10.0.0.10,10.0.0.1,1392,80,F,fin_flood
0.049772,56,TCP,10.0.0.1,10.0.0.10,80,1392,RA,fin_flood
0.050967,56,TCP,10.0.0.10,10.0.0.1,1393,80,F,fin_flood
0.050971,56,TCP,10.0.0.1,10.0.0.10,80,1393,RA,fin_flood
0.052073,56,TCP,10.0.0.10,10.0.0.1,1394,80,F,fin_flood
0.052076,56,TCP,10.0.0.1,10.0.0.10,80,1394,RA,fin_flood
0.053298,56,TCP,10.0.0.10,10.0.0.1,1395,80,F,fin_flood
0.053301,56,TCP,10.0.0.1,10.0.0.10,80,1395,RA,fin_flood
0.054427,56,TCP,10.0.0.10,10.0.0.1,1396,80,F,fin_flood
0.054431,56,TCP,10.0.0.1,10.0.0.10,80,1396,RA,fin_flood
0.055557,56,TCP,10.0.0.10,10.0.0.1,1397,80,F,fin_flood
0.055560,56,TCP,10.0.0.1,10.0.0.10,80,1397,RA,fin_flood
0.056687,56,TCP,10.0.0.10,10.0.0.1,1398,80,F,fin_flood
0.056693,56,TCP,10.0.0.1,10.0.0.10,80,1398,RA,fin_flood
0.058298,56,TCP,10.0.0.10,10.0.0.1,1399,80,F,fin_flood
0.058302,56,TCP,10.0.0.1,10.0.0.10,80,1399,RA,fin_flood
0.059342,56,TCP,10.0.0.10,10.0.0.1,1400,80,F,fin_flood
0.059346,56,TCP,10.0.0.1,10.0.0.10,80,1400,RA,fin_flood
0.060390,56,TCP,10.0.0.10,10.0.0.1,1401,80,F,fin_flood
0.060393,56,TCP,10.0.0.1,10.0.0.10,80,1401,RA,fin_flood
