time,size,protocol,src_IP,dst_IP,src_port,dst_port,flags,attack_type
0.000000,44,,,,,,,unknown
0.000015,44,,,,,,,unknown
0.000607,76,TCP,10.0.0.2,10.0.0.1,54912,5001,S,normal
0.000615,76,TCP,10.0.0.1,10.0.0.2,5001,54912,SA,normal
0.001012,68,TCP,10.0.0.2,10.0.0.1,54912,5001,A,normal
0.001390,92,TCP,10.0.0.2,10.0.0.1,54912,5001,PA,normal
0.001404,7308,TCP,10.0.0.2,10.0.0.1,54912,5001,A,normal
0.001408,5860,TCP,10.0.0.2,10.0.0.1,54912,5001,A,normal
0.001443,68,TCP,10.0.0.1,10.0.0.2,5001,54912,A,normal
0.001446,68,TCP,10.0.0.1,10.0.0.2,5001,54912,A,normal
0.001447,68,TCP,10.0.0.1,10.0.0.2,5001,54912,A,normal
0.001555,2964,TCP,10.0.0.2,10.0.0.1,54912,5001,A,normal
0.001563,11652,TCP,10.0.0.2,10.0.0.1,54912,5001,PA,normal
0.001563,2964,TCP,10.0.0.2,10.0.0.1,54912,5001,A,normal
0.001568,11652,TCP,10.0.0.2,10.0.0.1,54912,5001,PA,normal
0.001611,68,TCP,10.0.0.1,10.0.0.2,5001,54912,A,normal
0.001617,5860,TCP,10.0.0.2,10.0.0.1,54912,5001,A,normal
0.001619,68,TCP,10.0.0.1,10.0.0.2,5001,54912,A,normal
0.001623,8756,TCP,10.0.0.2,10.0.0.1,54912,5001,A,normal
0.001624,14548,TCP,10.0.0.2,10.0.0.1,54912,5001,PA,normal
0.001631,68,TCP,10.0.0.1,10.0.0.2,5001,54912,A,normal
0.001636,5860,TCP,10.0.0.2,10.0.0.1,54912,5001,A,normal
0.001642,68,TCP,10.0.0.1,10.0.0.2,5001,54912,A,normal
0.001648,8756,TCP,10.0.0.2,10.0.0.1,54912,5001,PA,normal
0.001655,68,TCP,10.0.0.1,10.0.0.2,5001,54912,A,normal
0.001665,68,TCP,10.0.0.1,10.0.0.2,5001,54912,A,normal
0.001677,68,TCP,10.0.0.1,10.0.0.2,5001,54912,A,normal
0.001684,68,TCP,10.0.0.1,10.0.0.2,5001,54912,A,normal
0.001693,68,TCP,10.0.0.1,10.0.0.2,5001,54912,A,normal
0.001737,45708,TCP,10.0.0.2,10.0.0.1,54912,5001,PA,normal
0.001750,46404,TCP,10.0.0.2,10.0.0.1,54912,5001,A,normal
0.001769,68,TCP,10.0.0.1,10.0.0.2,5001,54912,A,normal
0.001775,65228,TCP,10.0.0.2,10.0.0.1,54912,5001,PA,normal
0.001776,27580,TCP,10.0.0.2,10.0.0.1,54912,5001,A,normal
0.001924,68,TCP,10.0.0.1,10.0.0.2,5001,54912,A,normal
0.001932,37716,TCP,10.0.0.2,10.0.0.1,54912,5001,PA,normal
0.001955,68,TCP,10.0.0.1,10.0.0.2,5001,54912,A,normal
0.001957,68,TCP,10.0.0.1,10.0.0.2,5001,54912,A,normal
0.001958,68,TCP,10.0.0.1,10.0.0.2,5001,54912,A,normal
0.001980,65228,TCP,10.0.0.2,10.0.0.1,54912,5001,A,normal
0.001989,20396,TCP,10.0.0.2,10.0.0.1,54912,5001,PA,normal
0.001999,20564,TCP,10.0.0.2,10.0.0.1,54912,5001,A,normal
0.002043,68,TCP,10.0.0.1,10.0.0.2,5001,54912,A,normal
0.002050,65228,TCP,10.0.0.2,10.0.0.1,54912,5001,PA,normal
0.002051,63780,TCP,10.0.0.2,10.0.0.1,54912,5001,A,normal
0.002063,68,TCP,10.0.0.1,10.0.0.2,5001,54912,A,normal
0.002068,1516,TCP,10.0.0.2,10.0.0.1,54912,5001,A,normal
0.002069,18892,TCP,10.0.0.2,10.0.0.1,54912,5001,A,normal
0.002073,68,TCP,10.0.0.1,10.0.0.2,5001,54912,A,normal
0.002077,21420,TCP,10.0.0.2,10.0.0.1,54912,5001,A,normal
0.002080,68,TCP,10.0.0.1,10.0.0.2,5001,54912,A,normal
0.002084,24684,TCP,10.0.0.2,10.0.0.1,54912,5001,A,normal
0.002084,436,TCP,10.0.0.2,10.0.0.1,54912,5001,A,normal
0.002085,8756,TCP,10.0.0.2,10.0.0.1,54912,5001,A,normal
0.002230,68,TCP,10.0.0.1,10.0.0.2,5001,54912,A,normal
0.002232,68,TCP,10.0.0.1,10.0.0.2,5001,54912,A,normal
0.002234,68,TCP,10.0.0.1,10.0.0.2,5001,54912,A,normal
0.002244,40612,TCP,10.0.0.2,10.0.0.1,54912,5001,A,normal
0.002250,68,TCP,10.0.0.1,10.0.0.2,5001,54912,A,normal
0.002255,15996,TCP,10.0.0.2,10.0.0.1,54912,5001,A,normal
0.002255,30220,TCP,10.0.0.2,10.0.0.1,54912,5001,A,normal
0.002270,68,TCP,10.0.0.1,10.0.0.2,5001,54912,A,normal
0.002275,35076,TCP,10.0.0.2,10.0.0.1,54912,5001,A,normal
0.002275,63780,TCP,10.0.0.2,10.0.0.1,54912,5001,A,normal
