time,size,protocol,src_IP,dst_IP,src_port,dst_port,flags,attack_type
0.000000,44,,,,,,,unknown
0.000026,44,,,,,,,unknown
0.000838,76,TCP,10.0.0.2,10.0.0.1,48854,5001,S,normal
0.000852,76,TCP,10.0.0.1,10.0.0.2,5001,48854,SA,normal
0.001469,68,TCP,10.0.0.2,10.0.0.1,48854,5001,A,normal
0.003142,92,TCP,10.0.0.2,10.0.0.1,48854,5001,PA,normal
0.003158,1516,TCP,10.0.0.2,10.0.0.1,48854,5001,A,normal
0.003167,1516,TCP,10.0.0.2,10.0.0.1,48854,5001,A,normal
0.003170,1516,TCP,10.0.0.2,10.0.0.1,48854,5001,A,normal
0.003176,1516,TCP,10.0.0.2,10.0.0.1,48854,5001,A,normal
0.003180,1516,TCP,10.0.0.2,10.0.0.1,48854,5001,A,normal
0.003185,1516,TCP,10.0.0.2,10.0.0.1,48854,5001,A,normal
0.003190,1516,TCP,10.0.0.2,10.0.0.1,48854,5001,A,normal
0.003195,1516,TCP,10.0.0.2,10.0.0.1,48854,5001,A,normal
0.003198,1516,TCP,10.0.0.2,10.0.0.1,48854,5001,A,normal
0.003281,68,TCP,10.0.0.1,10.0.0.2,5001,48854,A,normal
0.003293,68,TCP,10.0.0.1,10.0.0.2,5001,48854,A,normal
0.003299,68,TCP,10.0.0.1,10.0.0.2,5001,48854,A,normal
0.003304,68,TCP,10.0.0.1,10.0.0.2,5001,48854,A,normal
0.003309,68,TCP,10.0.0.1,10.0.0.2,5001,48854,A,normal
0.003313,68,TCP,10.0.0.1,10.0.0.2,5001,48854,A,normal
0.003318,68,TCP,10.0.0.1,10.0.0.2,5001,48854,A,normal
0.003323,68,TCP,10.0.0.1,10.0.0.2,5001,48854,A,normal
0.003328,68,TCP,10.0.0.1,10.0.0.2,5001,48854,A,normal
0.003333,68,TCP,10.0.0.1,10.0.0.2,5001,48854,A,normal
0.003592,2964,TCP,10.0.0.2,10.0.0.1,48854,5001,A,normal
0.003607,2964,TCP,10.0.0.2,10.0.0.1,48854,5001,A,normal
0.003614,2964,TCP,10.0.0.2,10.0.0.1,48854,5001,A,normal
0.003622,2964,TCP,10.0.0.2,10.0.0.1,48854,5001,A,normal
0.003628,2964,TCP,10.0.0.2,10.0.0.1,48854,5001,PA,normal
0.003642,8756,TCP,10.0.0.2,10.0.0.1,48854,5001,A,normal
0.003653,5860,TCP,10.0.0.2,10.0.0.1,48854,5001,PA,normal
0.003696,68,TCP,10.0.0.1,10.0.0.2,5001,48854,A,normal
0.003707,5860,TCP,10.0.0.2,10.0.0.1,48854,5001,A,normal
0.003711,68,TCP,10.0.0.1,10.0.0.2,5001,48854,A,normal
0.003718,5860,TCP,10.0.0.2,10.0.0.1,48854,5001,A,normal
0.003721,68,TCP,10.0.0.1,10.0.0.2,5001,48854,A,normal
0.003728,2964,TCP,10.0.0.2,10.0.0.1,48854,5001,A,normal
0.003729,2964,TCP,10.0.0.2,10.0.0.1,48854,5001,A,normal
0.003735,68,TCP,10.0.0.1,10.0.0.2,5001,48854,A,normal
0.003742,5860,TCP,10.0.0.2,10.0.0.1,48854,5001,A,normal
0.003745,68,TCP,10.0.0.1,10.0.0.2,5001,48854,A,normal
0.003751,5860,TCP,10.0.0.2,10.0.0.1,48854,5001,PA,normal
0.003769,68,TCP,10.0.0.1,10.0.0.2,5001,48854,A,normal
0.003782,14548,TCP,10.0.0.2,10.0.0.1,48854,5001,PA,normal
