time,size,protocol,src_IP,dst_IP,src_port,dst_port,flags,attack_type
0.000000,44,,,,,,,unknown
0.000013,44,,,,,,,unknown
0.000624,76,TCP,10.0.0.2,10.0.0.1,,,,normal
0.000632,76,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001000,68,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001285,92,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001288,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001304,7308,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001307,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001312,5860,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001313,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001385,2964,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001387,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001391,11652,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001394,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001392,14548,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001397,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001392,5860,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001399,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001407,8756,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001409,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001407,14548,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001412,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001408,14548,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001414,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001504,43508,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001509,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001512,2268,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001513,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001524,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001536,37308,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001555,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001560,51268,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001753,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001760,14028,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001761,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001775,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001788,29492,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001799,58196,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001845,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001851,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001851,46404,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001864,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001869,18892,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001869,40244,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001989,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001995,25052,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001995,59436,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002010,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.002015,5860,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002015,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002016,38172,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002127,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.002133,27124,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002133,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002134,27580,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002150,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.002154,37716,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002155,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002155,22188,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002295,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.002302,43108,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002324,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.002338,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002347,11612,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002356,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002366,28700,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002560,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.002565,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002572,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.002577,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.002580,59324,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002593,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.002598,5972,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002598,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002599,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002599,5860,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002706,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.002713,59436,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002713,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002714,11220,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002847,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.002854,54076,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002854,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002855,13100,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002972,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.002979,52196,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002980,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002980,14876,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003103,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.003110,50420,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003110,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003110,15996,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003128,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.003132,49300,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003133,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003133,16748,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003277,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.003287,48548,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003287,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003288,15996,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003363,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.003372,49300,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003372,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003372,16748,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003514,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.003520,48548,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003521,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003521,15996,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003539,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.003544,49300,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003544,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003545,16748,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003682,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.003688,48548,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003689,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003689,15996,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003704,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.003710,49300,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003710,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003711,16748,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003875,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.003882,48548,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003883,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003883,15996,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003900,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.003905,49300,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003905,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003906,16748,TCP,10.0.0.2,10.0.0.1,,,,normal
0.004074,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.004081,48548,TCP,10.0.0.2,10.0.0.1,,,,normal
0.004082,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
