time,size,protocol,src_IP,dst_IP,src_port,dst_port,flags,attack_type
0.000000,44,,,,,,,unknown
0.000014,44,,,,,,,unknown
0.000612,76,TCP,10.0.0.2,10.0.0.1,,,,normal
0.000619,76,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001026,68,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001290,92,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001306,7308,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001309,5860,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001345,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001347,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001348,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001445,2964,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001452,11652,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001453,2964,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001458,5860,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001527,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001535,2964,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001537,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001541,2964,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001542,8756,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001546,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001550,2964,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001553,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001558,2964,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001559,4412,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001562,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001566,2964,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001567,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001570,2964,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001577,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001582,4412,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001582,4412,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001585,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001589,2964,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001592,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001595,2964,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001598,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001601,4412,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001615,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001622,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001628,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001632,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001636,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001639,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001642,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001703,13100,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001708,13100,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001719,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001725,13100,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001726,1516,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001729,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001733,13100,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001735,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001740,14548,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001742,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001745,1516,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001747,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001750,13100,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001753,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001756,8756,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001757,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001764,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001772,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001784,14548,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001803,14548,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001807,1516,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001813,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001816,14548,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001819,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001822,15996,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001825,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001829,15996,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001834,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001838,15996,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001838,1516,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001986,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001992,1516,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001994,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001998,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.002009,17444,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002015,17444,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002021,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.002024,17444,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002029,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.002033,17444,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002033,1516,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002036,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.002040,18892,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002043,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.002046,10204,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002049,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.002053,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.002061,18892,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002064,2324,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002072,17444,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002078,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.002081,20340,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002085,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.002089,2964,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002093,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.002097,18892,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002106,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.002111,20340,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002122,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.002126,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.002130,2964,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002133,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.002150,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.002168,21788,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002179,21788,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002486,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.002500,21788,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002506,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.002511,23236,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002511,1516,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002516,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.002519,18892,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002523,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.002529,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.002541,24684,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002547,24684,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002563,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.002567,24684,TCP,10.0.0.2,10.0.0.1,,,,normal
