time,size,protocol,src_IP,dst_IP,src_port,dst_port,flags,attack_type
0.000000,44,,,,,,,unknown
0.000013,44,,,,,,,unknown
0.000570,76,TCP,10.0.0.2,10.0.0.1,,,,normal
0.000577,76,TCP,10.0.0.1,10.0.0.2,,,,normal
0.000956,68,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001204,92,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001207,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001224,7308,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001226,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001231,5860,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001232,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001304,2964,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001306,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001311,11652,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001314,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001311,14548,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001316,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001311,5860,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001317,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001325,8756,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001327,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001325,14548,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001329,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001326,14548,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001331,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001400,43508,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001404,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001407,2268,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001408,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001418,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001429,37308,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001446,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001451,51268,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001699,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001706,14028,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001706,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001722,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001734,29492,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001744,58196,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001815,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001820,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001820,46404,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001836,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001840,18892,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001841,40244,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001941,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001966,25052,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001966,59436,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002130,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.002137,5860,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002137,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002138,38172,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002270,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.002276,27124,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002277,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002277,27580,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002298,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.002302,37716,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002302,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002303,22188,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002421,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.002427,43108,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002427,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002428,18892,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002447,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.002454,46404,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002454,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002455,18108,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002920,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.002932,47188,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002933,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002933,17444,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002959,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.002965,47852,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002965,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002965,17172,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003237,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.003244,48124,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003245,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003245,15996,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003274,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.003279,49300,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003280,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003280,16748,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003418,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.003426,48548,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003427,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003427,15996,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003559,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.003567,49300,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003568,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003568,16748,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003741,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.003748,48548,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003748,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003748,15996,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003771,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.003775,49300,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003775,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003776,16748,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003934,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.003940,48548,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003941,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003941,15996,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003985,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.003994,49300,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003994,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003995,16748,TCP,10.0.0.2,10.0.0.1,,,,normal
0.004179,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.004186,48548,TCP,10.0.0.2,10.0.0.1,,,,normal
0.004186,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.004187,15996,TCP,10.0.0.2,10.0.0.1,,,,normal
0.004209,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.004213,49300,TCP,10.0.0.2,10.0.0.1,,,,normal
0.004213,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.004214,16748,TCP,10.0.0.2,10.0.0.1,,,,normal
0.004333,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.004339,48548,TCP,10.0.0.2,10.0.0.1,,,,normal
0.004339,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.004340,15996,TCP,10.0.0.2,10.0.0.1,,,,normal
0.004358,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.004363,49300,TCP,10.0.0.2,10.0.0.1,,,,normal
0.004363,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.004363,16748,TCP,10.0.0.2,10.0.0.1,,,,normal
0.004482,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.004490,48548,TCP,10.0.0.2,10.0.0.1,,,,normal
0.004490,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.004490,15996,TCP,10.0.0.2,10.0.0.1,,,,normal
0.004551,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.004556,49300,TCP,10.0.0.2,10.0.0.1,,,,normal
0.004557,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.004557,16748,TCP,10.0.0.2,10.0.0.1,,,,normal
