time,size,protocol,src_IP,dst_IP,src_port,dst_port,flags,attack_type
0.000000,44,,,,,,,unknown
0.000021,44,,,,,,,unknown
0.000743,56,TCP,10.0.0.10,10.0.0.1,,,,syn_flood
0.000750,56,TCP,10.0.0.1,10.0.0.10,,,,syn_flood
0.003476,56,TCP,10.0.0.10,10.0.0.1,,,,syn_flood
0.003481,56,TCP,10.0.0.1,10.0.0.10,,,,syn_flood
0.004088,56,TCP,10.0.0.10,10.0.0.1,,,,syn_flood
0.004093,56,TCP,10.0.0.1,10.0.0.10,,,,syn_flood
0.005850,56,TCP,10.0.0.10,10.0.0.1,,,,syn_flood
0.005854,56,TCP,10.0.0.1,10.0.0.10,,,,syn_flood
0.007098,56,TCP,10.0.0.10,10.0.0.1,,,,syn_flood
0.007103,56,TCP,10.0.0.1,10.0.0.10,,,,syn_flood
0.008356,56,TCP,10.0.0.10,10.0.0.1,,,,syn_flood
0.008361,56,TCP,10.0.0.1,10.0.0.10,,,,syn_flood
0.009445,56,TCP,10.0.0.10,10.0.0.1,,,,syn_flood
0.009449,56,TCP,10.0.0.1,10.0.0.10,,,,syn_flood
0.010726,56,TCP,10.0.0.10,10.0.0.1,,,,syn_flood
0.010731,56,TCP,10.0.0.1,10.0.0.10,,,,syn_flood
0.011919,56,TCP,10.0.0.10,10.0.0.1,,,,syn_flood
0.011924,56,TCP,10.0.0.1,10.0.0.10,,,,syn_flood
0.013023,56,TCP,10.0.0.10,10.0.0.1,,,,syn_flood
0.013027,56,TCP,10.0.0.1,10.0.0.10,,,,syn_flood
0.014326,56,TCP,10.0.0.10,10.0.0.1,,,,syn_flood
0.014331,56,TCP,10.0.0.1,10.0.0.10,,,,syn_flood
0.015521,56,TCP,10.0.0.10,10.0.0.1,,,,syn_flood
0.015528,56,TCP,10.0.0.1,10.0.0.10,,,,syn_flood
0.017468,56,TCP,10.0.0.10,10.0.0.1,,,,syn_flood
0.017508,56,TCP,10.0.0.1,10.0.0.10,,,,syn_flood
0.028139,56,TCP,10.0.0.10,10.0.0.1,,,,syn_flood
0.028149,56,TCP,10.0.0.1,10.0.0.10,,,,syn_flood
0.029118,56,TCP,10.0.0.10,10.0.0.1,,,,syn_flood
0.029123,56,TCP,10.0.0.1,10.0.0.10,,,,syn_flood
0.031211,56,TCP,10.0.0.10,10.0.0.1,,,,syn_flood
0.031217,56,TCP,10.0.0.1,10.0.0.10,,,,syn_flood
0.033314,56,TCP,10.0.0.10,10.0.0.1,,,,syn_flood
0.033321,56,TCP,10.0.0.1,10.0.0.10,,,,syn_flood
0.035364,56,TCP,10.0.0.10,10.0.0.1,,,,syn_flood
0.035371,56,TCP,10.0.0.1,10.0.0.10,,,,syn_flood
0.036660,56,TCP,10.0.0.10,10.0.0.1,,,,syn_flood
0.036665,56,TCP,10.0.0.1,10.0.0.10,,,,syn_flood
0.037726,56,TCP,10.0.0.10,10.0.0.1,,,,syn_flood
0.037731,56,TCP,10.0.0.1,10.0.0.10,,,,syn_flood
0.039104,56,TCP,10.0.0.10,10.0.0.1,,,,syn_flood
0.039109,56,TCP,10.0.0.1,10.0.0.10,,,,syn_flood
0.040351,56,TCP,10.0.0.10,10.0.0.1,,,,syn_flood
0.040356,56,TCP,10.0.0.1,10.0.0.10,,,,syn_flood
0.041454,56,TCP,10.0.0.10,10.0.0.1,,,,syn_flood
0.041458,56,TCP,10.0.0.1,10.0.0.10,,,,syn_flood
0.042791,56,TCP,10.0.0.10,10.0.0.1,,,,syn_flood
0.042796,56,TCP,10.0.0.1,10.0.0.10,,,,syn_flood
0.044023,56,TCP,10.0.0.10,10.0.0.1,,,,syn_flood
0.044028,56,TCP,10.0.0.1,10.0.0.10,,,,syn_flood
0.045122,56,TCP,10.0.0.10,10.0.0.1,,,,syn_flood
0.045127,56,TCP,10.0.0.1,10.0.0.10,,,,syn_flood
0.046386,56,TCP,10.0.0.10,10.0.0.1,,,,syn_flood
0.046391,56,TCP,10.0.0.1,10.0.0.10,,,,syn_flood
0.047588,56,TCP,10.0.0.10,10.0.0.1,,,,syn_flood
0.047592,56,TCP,10.0.0.1,10.0.0.10,,,,syn_flood
0.048832,56,TCP,10.0.0.10,10.0.0.1,,,,syn_flood
0.048838,56,TCP,10.0.0.1,10.0.0.10,,,,syn_flood
0.050000,56,TCP,10.0.0.10,10.0.0.1,,,,syn_flood
0.050017,56,TCP,10.0.0.1,10.0.0.10,,,,syn_flood
0.051184,56,TCP,10.0.0.10,10.0.0.1,,,,syn_flood
0.051189,56,TCP,10.0.0.1,10.0.0.10,,,,syn_flood
0.052373,56,TCP,10.0.0.10,10.0.0.1,,,,syn_flood
0.052377,56,TCP,10.0.0.1,10.0.0.10,,,,syn_flood
0.053453,56,TCP,10.0.0.10,10.0.0.1,,,,syn_flood
0.053457,56,TCP,10.0.0.1,10.0.0.10,,,,syn_flood
0.054804,56,TCP,10.0.0.10,10.0.0.1,,,,syn_flood
0.054809,56,TCP,10.0.0.1,10.0.0.10,,,,syn_flood
0.056005,56,TCP,10.0.0.10,10.0.0.1,,,,syn_flood
0.056009,56,TCP,10.0.0.1,10.0.0.10,,,,syn_flood
0.057088,56,TCP,10.0.0.10,10.0.0.1,,,,syn_flood
0.057092,56,TCP,10.0.0.1,10.0.0.10,,,,syn_flood
0.058380,56,TCP,10.0.0.10,10.0.0.1,,,,syn_flood
0.058385,56,TCP,10.0.0.1,10.0.0.10,,,,syn_flood
0.059567,56,TCP,10.0.0.10,10.0.0.1,,,,syn_flood
0.059571,56,TCP,10.0.0.1,10.0.0.10,,,,syn_flood
0.060741,56,TCP,10.0.0.10,10.0.0.1,,,,syn_flood
0.060745,56,TCP,10.0.0.1,10.0.0.10,,,,syn_flood
0.061808,56,TCP,10.0.0.10,10.0.0.1,,,,syn_flood
0.061812,56,TCP,10.0.0.1,10.0.0.10,,,,syn_flood
0.063084,56,TCP,10.0.0.10,10.0.0.1,,,,syn_flood
0.063088,56,TCP,10.0.0.1,10.0.0.10,,,,syn_flood
0.064258,56,TCP,10.0.0.10,10.0.0.1,,,,syn_flood
0.064262,56,TCP,10.0.0.1,10.0.0.10,,,,syn_flood
0.065345,56,TCP,10.0.0.10,10.0.0.1,,,,syn_flood
0.065350,56,TCP,10.0.0.1,10.0.0.10,,,,syn_flood
0.066676,56,TCP,10.0.0.10,10.0.0.1,,,,syn_flood
0.066680,56,TCP,10.0.0.1,10.0.0.10,,,,syn_flood
0.067852,56,TCP,10.0.0.10,10.0.0.1,,,,syn_flood
0.067855,56,TCP,10.0.0.1,10.0.0.10,,,,syn_flood
0.068996,56,TCP,10.0.0.10,10.0.0.1,,,,syn_flood
0.069000,56,TCP,10.0.0.1,10.0.0.10,,,,syn_flood
0.070277,56,TCP,10.0.0.10,10.0.0.1,,,,syn_flood
0.070282,56,TCP,10.0.0.1,10.0.0.10,,,,syn_flood
0.071485,56,TCP,10.0.0.10,10.0.0.1,,,,syn_flood
0.071489,56,TCP,10.0.0.1,10.0.0.10,,,,syn_flood
0.072554,56,TCP,10.0.0.10,10.0.0.1,,,,syn_flood
0.072557,56,TCP,10.0.0.1,10.0.0.10,,,,syn_flood
0.073611,56,TCP,10.0.0.10,10.0.0.1,,,,syn_flood
0.073616,56,TCP,10.0.0.1,10.0.0.10,,,,syn_flood
0.074933,56,TCP,10.0.0.10,10.0.0.1,,,,syn_flood
0.074938,56,TCP,10.0.0.1,10.0.0.10,,,,syn_flood
0.076113,56,TCP,10.0.0.10,10.0.0.1,,,,syn_flood
0.076121,56,TCP,10.0.0.1,10.0.0.10,,,,syn_flood
0.077233,56,TCP,10.0.0.10,10.0.0.1,,,,syn_flood
0.077238,56,TCP,10.0.0.1,10.0.0.10,,,,syn_flood
0.078499,56,TCP,10.0.0.10,10.0.0.1,,,,syn_flood
0.078503,56,TCP,10.0.0.1,10.0.0.10,,,,syn_flood
0.079678,56,TCP,10.0.0.10,10.0.0.1,,,,syn_flood
0.079682,56,TCP,10.0.0.1,10.0.0.10,,,,syn_flood
0.080858,56,TCP,10.0.0.10,10.0.0.1,,,,syn_flood
0.080862,56,TCP,10.0.0.1,10.0.0.10,,,,syn_flood
0.082215,56,TCP,10.0.0.10,10.0.0.1,,,,syn_flood
0.082220,56,TCP,10.0.0.1,10.0.0.10,,,,syn_flood
0.083303,56,TCP,10.0.0.10,10.0.0.1,,,,syn_flood
0.083307,56,TCP,10.0.0.1,10.0.0.10,,,,syn_flood
0.084490,56,TCP,10.0.0.10,10.0.0.1,,,,syn_flood
0.084494,56,TCP,10.0.0.1,10.0.0.10,,,,syn_flood
0.085568,56,TCP,10.0.0.10,10.0.0.1,,,,syn_flood
0.085572,56,TCP,10.0.0.1,10.0.0.10,,,,syn_flood
0.086869,56,TCP,10.0.0.10,10.0.0.1,,,,syn_flood
0.086873,56,TCP,10.0.0.1,10.0.0.10,,,,syn_flood
0.088051,56,TCP,10.0.0.10,10.0.0.1,,,,syn_flood
0.088056,56,TCP,10.0.0.1,10.0.0.10,,,,syn_flood
0.089187,56,TCP,10.0.0.10,10.0.0.1,,,,syn_flood
0.089191,56,TCP,10.0.0.1,10.0.0.10,,,,syn_flood
0.090484,56,TCP,10.0.0.10,10.0.0.1,,,,syn_flood
0.090489,56,TCP,10.0.0.1,10.0.0.10,,,,syn_flood
0.091753,56,TCP,10.0.0.10,10.0.0.1,,,,syn_flood
0.091757,56,TCP,10.0.0.1,10.0.0.10,,,,syn_flood
0.092875,56,TCP,10.0.0.10,10.0.0.1,,,,syn_flood
0.092879,56,TCP,10.0.0.1,10.0.0.10,,,,syn_flood
0.094198,56,TCP,10.0.0.10,10.0.0.1,,,,syn_flood
0.094202,56,TCP,10.0.0.1,10.0.0.10,,,,syn_flood
0.095431,56,TCP,10.0.0.10,10.0.0.1,,,,syn_flood
0.095435,56,TCP,10.0.0.1,10.0.0.10,,,,syn_flood
0.096563,56,TCP,10.0.0.10,10.0.0.1,,,,syn_flood
0.096567,56,TCP,10.0.0.1,10.0.0.10,,,,syn_flood
0.097620,56,TCP,10.0.0.10,10.0.0.1,,,,syn_flood
0.097623,56,TCP,10.0.0.1,10.0.0.10,,,,syn_flood
0.098913,56,TCP,10.0.0.10,10.0.0.1,,,,syn_flood
0.098918,56,TCP,10.0.0.1,10.0.0.10,,,,syn_flood
0.100013,56,TCP,10.0.0.10,10.0.0.1,,,,syn_flood
0.100016,56,TCP,10.0.0.1,10.0.0.10,,,,syn_flood
0.101073,56,TCP,10.0.0.10,10.0.0.1,,,,syn_flood
