time,size,protocol,src_IP,dst_IP,src_port,dst_port,flags,attack_type
0.000000,44,,,,,,,unknown
0.000014,44,,,,,,,unknown
0.000595,76,TCP,10.0.0.2,10.0.0.1,48842,5001,S,normal
0.000602,76,TCP,10.0.0.1,10.0.0.2,5001,48842,SA,normal
0.001014,68,TCP,10.0.0.2,10.0.0.1,48842,5001,A,normal
0.001286,92,TCP,10.0.0.2,10.0.0.1,48842,5001,PA,normal
0.001300,7308,TCP,10.0.0.2,10.0.0.1,48842,5001,A,normal
0.001303,5860,TCP,10.0.0.2,10.0.0.1,48842,5001,A,normal
0.001350,68,TCP,10.0.0.1,10.0.0.2,5001,48842,A,normal
0.001352,68,TCP,10.0.0.1,10.0.0.2,5001,48842,A,normal
0.001353,68,TCP,10.0.0.1,10.0.0.2,5001,48842,A,normal
0.001471,2964,TCP,10.0.0.2,10.0.0.1,48842,5001,A,normal
0.001478,11652,TCP,10.0.0.2,10.0.0.1,48842,5001,PA,normal
0.001479,2964,TCP,10.0.0.2,10.0.0.1,48842,5001,A,normal
0.001484,11652,TCP,10.0.0.2,10.0.0.1,48842,5001,PA,normal
0.001525,68,TCP,10.0.0.1,10.0.0.2,5001,48842,A,normal
0.001531,5860,TCP,10.0.0.2,10.0.0.1,48842,5001,A,normal
0.001534,68,TCP,10.0.0.1,10.0.0.2,5001,48842,A,normal
0.001538,8756,TCP,10.0.0.2,10.0.0.1,48842,5001,A,normal
0.001538,14548,TCP,10.0.0.2,10.0.0.1,48842,5001,PA,normal
0.001553,68,TCP,10.0.0.1,10.0.0.2,5001,48842,A,normal
0.001558,5860,TCP,10.0.0.2,10.0.0.1,48842,5001,A,normal
0.001563,68,TCP,10.0.0.1,10.0.0.2,5001,48842,A,normal
0.001569,8756,TCP,10.0.0.2,10.0.0.1,48842,5001,PA,normal
0.001577,68,TCP,10.0.0.1,10.0.0.2,5001,48842,A,normal
0.001586,68,TCP,10.0.0.1,10.0.0.2,5001,48842,A,normal
0.001598,68,TCP,10.0.0.1,10.0.0.2,5001,48842,A,normal
0.001604,68,TCP,10.0.0.1,10.0.0.2,5001,48842,A,normal
0.001613,68,TCP,10.0.0.1,10.0.0.2,5001,48842,A,normal
0.001661,45708,TCP,10.0.0.2,10.0.0.1,48842,5001,PA,normal
0.001674,46404,TCP,10.0.0.2,10.0.0.1,48842,5001,A,normal
0.001696,68,TCP,10.0.0.1,10.0.0.2,5001,48842,A,normal
0.001703,65228,TCP,10.0.0.2,10.0.0.1,48842,5001,PA,normal
0.001703,27580,TCP,10.0.0.2,10.0.0.1,48842,5001,A,normal
0.001853,68,TCP,10.0.0.1,10.0.0.2,5001,48842,A,normal
0.001861,37716,TCP,10.0.0.2,10.0.0.1,48842,5001,PA,normal
0.001888,68,TCP,10.0.0.1,10.0.0.2,5001,48842,A,normal
0.001889,68,TCP,10.0.0.1,10.0.0.2,5001,48842,A,normal
0.001890,68,TCP,10.0.0.1,10.0.0.2,5001,48842,A,normal
0.001911,65228,TCP,10.0.0.2,10.0.0.1,48842,5001,A,normal
0.001920,20396,TCP,10.0.0.2,10.0.0.1,48842,5001,PA,normal
0.001930,20564,TCP,10.0.0.2,10.0.0.1,48842,5001,A,normal
0.001959,68,TCP,10.0.0.1,10.0.0.2,5001,48842,A,normal
0.001965,65228,TCP,10.0.0.2,10.0.0.1,48842,5001,PA,normal
0.001966,39164,TCP,10.0.0.2,10.0.0.1,48842,5001,A,normal
0.001977,68,TCP,10.0.0.1,10.0.0.2,5001,48842,A,normal
0.001982,21788,TCP,10.0.0.2,10.0.0.1,48842,5001,A,normal
0.001985,68,TCP,10.0.0.1,10.0.0.2,5001,48842,A,normal
0.001989,4412,TCP,10.0.0.2,10.0.0.1,48842,5001,A,normal
0.001989,18892,TCP,10.0.0.2,10.0.0.1,48842,5001,A,normal
0.001993,68,TCP,10.0.0.1,10.0.0.2,5001,48842,A,normal
0.001998,46404,TCP,10.0.0.2,10.0.0.1,48842,5001,A,normal
0.001998,9012,TCP,10.0.0.2,10.0.0.1,48842,5001,A,normal
0.002112,68,TCP,10.0.0.1,10.0.0.2,5001,48842,A,normal
0.002114,68,TCP,10.0.0.1,10.0.0.2,5001,48842,A,normal
0.002115,68,TCP,10.0.0.1,10.0.0.2,5001,48842,A,normal
0.002123,68,TCP,10.0.0.1,10.0.0.2,5001,48842,A,normal
0.002127,56284,TCP,10.0.0.2,10.0.0.1,48842,5001,A,normal
0.002127,10204,TCP,10.0.0.2,10.0.0.1,48842,5001,A,normal
0.002143,68,TCP,10.0.0.1,10.0.0.2,5001,48842,A,normal
0.002146,55092,TCP,10.0.0.2,10.0.0.1,48842,5001,PA,normal
0.002498,68,TCP,10.0.0.1,10.0.0.2,5001,48842,A,normal
0.002558,46988,TCP,10.0.0.2,10.0.0.1,48842,5001,PA,normal
0.002607,65228,TCP,10.0.0.2,10.0.0.1,48842,5001,A,normal
0.002622,27252,TCP,10.0.0.2,10.0.0.1,48842,5001,A,normal
0.002652,68,TCP,10.0.0.1,10.0.0.2,5001,48842,A,normal
0.002659,65228,TCP,10.0.0.2,10.0.0.1,48842,5001,A,normal
0.002660,1516,TCP,10.0.0.2,10.0.0.1,48842,5001,A,normal
0.002671,68,TCP,10.0.0.1,10.0.0.2,5001,48842,A,normal
0.002676,63780,TCP,10.0.0.2,10.0.0.1,48842,5001,PA,normal
0.002677,4412,TCP,10.0.0.2,10.0.0.1,48842,5001,A,normal
0.002712,68,TCP,10.0.0.1,10.0.0.2,5001,48842,A,normal
0.002717,23612,TCP,10.0.0.2,10.0.0.1,48842,5001,A,normal
0.002969,68,TCP,10.0.0.1,10.0.0.2,5001,48842,A,normal
0.002983,37340,TCP,10.0.0.2,10.0.0.1,48842,5001,A,normal
0.002983,65228,TCP,10.0.0.2,10.0.0.1,48842,5001,PA,normal
0.002983,21788,TCP,10.0.0.2,10.0.0.1,48842,5001,A,normal
0.003049,68,TCP,10.0.0.1,10.0.0.2,5001,48842,A,normal
0.003053,43508,TCP,10.0.0.2,10.0.0.1,48842,5001,PA,normal
0.003170,68,TCP,10.0.0.1,10.0.0.2,5001,48842,A,normal
0.003182,65228,TCP,10.0.0.2,10.0.0.1,48842,5001,A,normal
0.003192,41052,TCP,10.0.0.2,10.0.0.1,48842,5001,PA,normal
0.003204,64420,TCP,10.0.0.2,10.0.0.1,48842,5001,A,normal
0.003312,68,TCP,10.0.0.1,10.0.0.2,5001,48842,A,normal
0.003319,65228,TCP,10.0.0.2,10.0.0.1,48842,5001,PA,normal
0.003328,68,TCP,10.0.0.1,10.0.0.2,5001,48842,A,normal
0.003332,68,TCP,10.0.0.1,10.0.0.2,5001,48842,A,normal
0.003336,65228,TCP,10.0.0.2,10.0.0.1,48842,5001,A,normal
0.003336,9524,TCP,10.0.0.2,10.0.0.1,48842,5001,A,normal
0.003492,68,TCP,10.0.0.1,10.0.0.2,5001,48842,A,normal
0.003502,55772,TCP,10.0.0.2,10.0.0.1,48842,5001,PA,normal
0.003502,65228,TCP,10.0.0.2,10.0.0.1,48842,5001,A,normal
0.003502,13100,TCP,10.0.0.2,10.0.0.1,48842,5001,A,normal
0.003672,68,TCP,10.0.0.1,10.0.0.2,5001,48842,A,normal
0.003680,52196,TCP,10.0.0.2,10.0.0.1,48842,5001,PA,normal
0.003680,65228,TCP,10.0.0.2,10.0.0.1,48842,5001,PA,normal
0.003681,14876,TCP,10.0.0.2,10.0.0.1,48842,5001,A,normal
0.003699,68,TCP,10.0.0.1,10.0.0.2,5001,48842,A,normal
0.003705,50420,TCP,10.0.0.2,10.0.0.1,48842,5001,A,normal
0.003705,65228,TCP,10.0.0.2,10.0.0.1,48842,5001,A,normal
0.003705,15996,TCP,10.0.0.2,10.0.0.1,48842,5001,A,normal
0.003845,68,TCP,10.0.0.1,10.0.0.2,5001,48842,A,normal
0.003852,49300,TCP,10.0.0.2,10.0.0.1,48842,5001,PA,normal
0.003852,65228,TCP,10.0.0.2,10.0.0.1,48842,5001,A,normal
0.003853,16748,TCP,10.0.0.2,10.0.0.1,48842,5001,A,normal
0.003871,68,TCP,10.0.0.1,10.0.0.2,5001,48842,A,normal
