time,size,protocol,src_IP,dst_IP,src_port,dst_port,flags,attack_type
0.000000,44,,,,,,,unknown
0.000014,44,,,,,,,unknown
0.000552,76,TCP,10.0.0.2,10.0.0.1,,,,normal
0.000559,76,TCP,10.0.0.1,10.0.0.2,,,,normal
0.000897,68,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001288,92,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001291,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001306,7308,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001309,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001314,5860,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001315,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001391,2964,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001393,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001398,11652,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001401,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001398,14548,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001404,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001399,5860,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001406,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001414,8756,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001417,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001415,14548,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001419,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001415,14548,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001421,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001596,43508,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001603,2268,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001611,40612,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001629,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001635,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001635,21788,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001645,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001648,5860,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001652,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001656,37716,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001659,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001798,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001800,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001802,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001836,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001845,26188,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001855,14260,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001891,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001898,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001898,63780,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001911,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001916,1516,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001916,24684,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001920,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001923,15628,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001926,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.001930,24684,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001930,436,TCP,10.0.0.2,10.0.0.1,,,,normal
0.001931,8756,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002037,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.002039,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.002046,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.002051,56540,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002051,10156,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002067,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.002071,55140,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002071,56540,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002176,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.002182,8756,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002182,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002198,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.002209,54044,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002221,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002231,20196,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002400,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.002406,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002415,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.002419,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002425,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.002428,31540,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002439,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.002444,33756,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002444,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002444,23236,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002569,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.002577,42060,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002578,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002578,20404,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002595,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.002600,44892,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002600,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002601,17444,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002764,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.002772,47852,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002773,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002773,17172,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002792,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.002796,48124,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002930,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002942,16900,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002991,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.002996,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.002997,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003013,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.003017,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003018,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003018,9012,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003211,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.003219,56284,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003220,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003220,11652,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003488,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.003495,53644,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003496,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003496,14452,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003511,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.003515,50844,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003516,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003516,14548,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003718,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.003728,50748,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003729,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.003729,15812,TCP,10.0.0.2,10.0.0.1,,,,normal
0.004561,68,TCP,10.0.0.1,10.0.0.2,,,,normal
0.004570,49484,TCP,10.0.0.2,10.0.0.1,,,,normal
0.004570,65228,TCP,10.0.0.2,10.0.0.1,,,,normal
0.004571,55092,TCP,10.0.0.2,10.0.0.1,,,,normal
