time,size,protocol,src_IP,dst_IP,src_port,dst_port,flags,attack_type
0.0,44,,,,,,,unknown
1.6e-05,44,,,,,,,unknown
0.000694,100,ICMP,10.0.0.10,10.0.0.1,,,,ping_ddos
0.000701,100,ICMP,10.0.0.1,10.0.0.10,,,,ping_ddos
0.001306,100,ICMP,10.0.0.10,10.0.0.1,,,,ping_ddos
0.00131,100,ICMP,10.0.0.1,10.0.0.10,,,,ping_ddos
0.001399,100,ICMP,10.0.0.10,10.0.0.1,,,,ping_ddos
0.001404,100,ICMP,10.0.0.1,10.0.0.10,,,,ping_ddos
0.001457,100,ICMP,10.0.0.10,10.0.0.1,,,,ping_ddos
0.00146,100,ICMP,10.0.0.1,10.0.0.10,,,,ping_ddos
0.001502,100,ICMP,10.0.0.10,10.0.0.1,,,,ping_ddos
0.001504,100,ICMP,10.0.0.1,10.0.0.10,,,,ping_ddos
0.001544,100,ICMP,10.0.0.10,10.0.0.1,,,,ping_ddos
0.001546,100,ICMP,10.0.0.1,10.0.0.10,,,,ping_ddos
0.001587,100,ICMP,10.0.0.10,10.0.0.1,,,,ping_ddos
0.001589,100,ICMP,10.0.0.1,10.0.0.10,,,,ping_ddos
0.001629,100,ICMP,10.0.0.10,10.0.0.1,,,,ping_ddos
0.001631,100,ICMP,10.0.0.1,10.0.0.10,,,,ping_ddos
0.001671,100,ICMP,10.0.0.10,10.0.0.1,,,,ping_ddos
0.001673,100,ICMP,10.0.0.1,10.0.0.10,,,,ping_ddos
0.001713,100,ICMP,10.0.0.10,10.0.0.1,,,,ping_ddos
0.001715,100,ICMP,10.0.0.1,10.0.0.10,,,,ping_ddos
0.001755,100,ICMP,10.0.0.10,10.0.0.1,,,,ping_ddos
0.001757,100,ICMP,10.0.0.1,10.0.0.10,,,,ping_ddos
0.001797,100,ICMP,10.0.0.10,10.0.0.1,,,,ping_ddos
0.001799,100,ICMP,10.0.0.1,10.0.0.10,,,,ping_ddos
0.001839,100,ICMP,10.0.0.10,10.0.0.1,,,,ping_ddos
0.001841,100,ICMP,10.0.0.1,10.0.0.10,,,,ping_ddos
0.001881,100,ICMP,10.0.0.10,10.0.0.1,,,,ping_ddos
0.001883,100,ICMP,10.0.0.1,10.0.0.10,,,,ping_ddos
0.001923,100,ICMP,10.0.0.10,10.0.0.1,,,,ping_ddos
0.001925,100,ICMP,10.0.0.1,10.0.0.10,,,,ping_ddos
0.001965,100,ICMP,10.0.0.10,10.0.0.1,,,,ping_ddos
0.001967,100,ICMP,10.0.0.1,10.0.0.10,,,,ping_ddos
0.002007,100,ICMP,10.0.0.10,10.0.0.1,,,,ping_ddos
0.002009,100,ICMP,10.0.0.1,10.0.0.10,,,,ping_ddos
0.002049,100,ICMP,10.0.0.10,10.0.0.1,,,,ping_ddos
0.002051,100,ICMP,10.0.0.1,10.0.0.10,,,,ping_ddos
0.002091,100,ICMP,10.0.0.10,10.0.0.1,,,,ping_ddos
0.002093,100,ICMP,10.0.0.1,10.0.0.10,,,,ping_ddos
0.002133,100,ICMP,10.0.0.10,10.0.0.1,,,,ping_ddos
0.002135,100,ICMP,10.0.0.1,10.0.0.10,,,,ping_ddos
0.002175,100,ICMP,10.0.0.10,10.0.0.1,,,,ping_ddos
0.002177,100,ICMP,10.0.0.1,10.0.0.10,,,,ping_ddos
0.002217,100,ICMP,10.0.0.10,10.0.0.1,,,,ping_ddos
0.002219,100,ICMP,10.0.0.1,10.0.0.10,,,,ping_ddos
0.002258,100,ICMP,10.0.0.10,10.0.0.1,,,,ping_ddos
0.00226,100,ICMP,10.0.0.1,10.0.0.10,,,,ping_ddos
0.0023,100,ICMP,10.0.0.10,10.0.0.1,,,,ping_ddos
0.002302,100,ICMP,10.0.0.1,10.0.0.10,,,,ping_ddos
0.002342,100,ICMP,10.0.0.10,10.0.0.1,,,,ping_ddos
0.002344,100,ICMP,10.0.0.1,10.0.0.10,,,,ping_ddos
0.002433,100,ICMP,10.0.0.10,10.0.0.1,,,,ping_ddos
0.002436,100,ICMP,10.0.0.1,10.0.0.10,,,,ping_ddos
0.00248,100,ICMP,10.0.0.10,10.0.0.1,,,,ping_ddos
0.002482,100,ICMP,10.0.0.1,10.0.0.10,,,,ping_ddos
0.002523,100,ICMP,10.0.0.10,10.0.0.1,,,,ping_ddos
0.002525,100,ICMP,10.0.0.1,10.0.0.10,,,,ping_ddos
0.002565,100,ICMP,10.0.0.10,10.0.0.1,,,,ping_ddos
0.002567,100,ICMP,10.0.0.1,10.0.0.10,,,,ping_ddos
0.002607,100,ICMP,10.0.0.10,10.0.0.1,,,,ping_ddos
0.002609,100,ICMP,10.0.0.1,10.0.0.10,,,,ping_ddos
0.002649,100,ICMP,10.0.0.10,10.0.0.1,,,,ping_ddos
0.002651,100,ICMP,10.0.0.1,10.0.0.10,,,,ping_ddos
0.002692,100,ICMP,10.0.0.10,10.0.0.1,,,,ping_ddos
0.002694,100,ICMP,10.0.0.1,10.0.0.10,,,,ping_ddos
0.002734,100,ICMP,10.0.0.10,10.0.0.1,,,,ping_ddos
0.002736,100,ICMP,10.0.0.1,10.0.0.10,,,,ping_ddos
0.002776,100,ICMP,10.0.0.10,10.0.0.1,,,,ping_ddos
0.002778,100,ICMP,10.0.0.1,10.0.0.10,,,,ping_ddos
0.002818,100,ICMP,10.0.0.10,10.0.0.1,,,,ping_ddos
0.00282,100,ICMP,10.0.0.1,10.0.0.10,,,,ping_ddos
0.00286,100,ICMP,10.0.0.10,10.0.0.1,,,,ping_ddos
0.002862,100,ICMP,10.0.0.1,10.0.0.10,,,,ping_ddos
0.002902,100,ICMP,10.0.0.10,10.0.0.1,,,,ping_ddos
0.002904,100,ICMP,10.0.0.1,10.0.0.10,,,,ping_ddos
0.002944,100,ICMP,10.0.0.10,10.0.0.1,,,,ping_ddos
0.002946,100,ICMP,10.0.0.1,10.0.0.10,,,,ping_ddos
0.002986,100,ICMP,10.0.0.10,10.0.0.1,,,,ping_ddos
0.002988,100,ICMP,10.0.0.1,10.0.0.10,,,,ping_ddos
0.003028,100,ICMP,10.0.0.10,10.0.0.1,,,,ping_ddos
0.00303,100,ICMP,10.0.0.1,10.0.0.10,,,,ping_ddos
0.01341,44,,,,,,,unknown
0.013423,44,,,,,,,unknown
0.014097,100,ICMP,10.0.0.11,10.0.0.1,,,,ping_ddos
0.014102,100,ICMP,10.0.0.1,10.0.0.11,,,,ping_ddos
0.014831,100,ICMP,10.0.0.11,10.0.0.1,,,,ping_ddos
0.014835,100,ICMP,10.0.0.1,10.0.0.11,,,,ping_ddos
0.014919,100,ICMP,10.0.0.11,10.0.0.1,,,,ping_ddos
0.014921,100,ICMP,10.0.0.1,10.0.0.11,,,,ping_ddos
0.014932,100,ICMP,10.0.0.11,10.0.0.1,,,,ping_ddos
0.014934,100,ICMP,10.0.0.1,10.0.0.11,,,,ping_ddos
0.014944,100,ICMP,10.0.0.11,10.0.0.1,,,,ping_ddos
0.014945,100,ICMP,10.0.0.1,10.0.0.11,,,,ping_ddos
0.014955,100,ICMP,10.0.0.11,10.0.0.1,,,,ping_ddos
0.014956,100,ICMP,10.0.0.1,10.0.0.11,,,,ping_ddos
0.014966,100,ICMP,10.0.0.11,10.0.0.1,,,,ping_ddos
0.014968,100,ICMP,10.0.0.1,10.0.0.11,,,,ping_ddos
0.014978,100,ICMP,10.0.0.11,10.0.0.1,,,,ping_ddos
0.014979,100,ICMP,10.0.0.1,10.0.0.11,,,,ping_ddos
0.014988,100,ICMP,10.0.0.11,10.0.0.1,,,,ping_ddos
0.014989,100,ICMP,10.0.0.1,10.0.0.11,,,,ping_ddos
0.014999,100,ICMP,10.0.0.11,10.0.0.1,,,,ping_ddos
0.015,100,ICMP,10.0.0.1,10.0.0.11,,,,ping_ddos
0.01501,100,ICMP,10.0.0.11,10.0.0.1,,,,ping_ddos
0.015011,100,ICMP,10.0.0.1,10.0.0.11,,,,ping_ddos
0.015021,100,ICMP,10.0.0.11,10.0.0.1,,,,ping_ddos
0.015022,100,ICMP,10.0.0.1,10.0.0.11,,,,ping_ddos
0.015032,100,ICMP,10.0.0.11,10.0.0.1,,,,ping_ddos
0.015034,100,ICMP,10.0.0.1,10.0.0.11,,,,ping_ddos
0.015043,100,ICMP,10.0.0.11,10.0.0.1,,,,ping_ddos
0.015045,100,ICMP,10.0.0.1,10.0.0.11,,,,ping_ddos
0.015055,100,ICMP,10.0.0.11,10.0.0.1,,,,ping_ddos
