time,size,protocol,src_IP,dst_IP,src_port,dst_port,flags,attack_type
0.0,44,,,,,,,unknown
0.000911,44,,,,,,,unknown
0.000928,44,,,,,,,unknown
0.001168,72,ICMP,10.0.0.53,10.0.0.1,,,,reflected_dos
0.011543,72,ICMP,10.0.0.53,10.0.0.1,,,,reflected_dos
0.011562,72,ICMP,10.0.0.53,10.0.0.1,,,,reflected_dos
0.021749,72,ICMP,10.0.0.53,10.0.0.1,,,,reflected_dos
0.021767,72,ICMP,10.0.0.53,10.0.0.1,,,,reflected_dos
0.023191,72,ICMP,10.0.0.53,10.0.0.1,,,,reflected_dos
0.996947,72,ICMP,10.0.0.53,10.0.0.1,,,,reflected_dos
1.997754,72,ICMP,10.0.0.53,10.0.0.1,,,,reflected_dos
2.997618,72,ICMP,10.0.0.53,10.0.0.1,,,,reflected_dos
3.99739,72,ICMP,10.0.0.53,10.0.0.1,,,,reflected_dos
4.997246,72,ICMP,10.0.0.53,10.0.0.1,,,,reflected_dos
5.997297,72,ICMP,10.0.0.53,10.0.0.1,,,,reflected_dos
6.997994,72,ICMP,10.0.0.53,10.0.0.1,,,,reflected_dos
7.998601,72,ICMP,10.0.0.53,10.0.0.1,,,,reflected_dos
8.997751,72,ICMP,10.0.0.53,10.0.0.1,,,,reflected_dos
9.998381,72,ICMP,10.0.0.53,10.0.0.1,,,,reflected_dos
10.999213,72,ICMP,10.0.0.53,10.0.0.1,,,,reflected_dos
11.999318,72,ICMP,10.0.0.53,10.0.0.1,,,,reflected_dos
12.998161,72,ICMP,10.0.0.53,10.0.0.1,,,,reflected_dos
13.999586,72,ICMP,10.0.0.53,10.0.0.1,,,,reflected_dos
14.999483,72,ICMP,10.0.0.53,10.0.0.1,,,,reflected_dos
16.001576,72,ICMP,10.0.0.53,10.0.0.1,,,,reflected_dos
17.003368,72,ICMP,10.0.0.53,10.0.0.1,,,,reflected_dos
18.001689,72,ICMP,10.0.0.53,10.0.0.1,,,,reflected_dos
19.002811,72,ICMP,10.0.0.53,10.0.0.1,,,,reflected_dos
20.002469,72,ICMP,10.0.0.53,10.0.0.1,,,,reflected_dos
20.999822,72,ICMP,10.0.0.53,10.0.0.1,,,,reflected_dos
22.004296,72,ICMP,10.0.0.53,10.0.0.1,,,,reflected_dos
23.001364,72,ICMP,10.0.0.53,10.0.0.1,,,,reflected_dos
24.001055,72,ICMP,10.0.0.53,10.0.0.1,,,,reflected_dos
25.001757,72,ICMP,10.0.0.53,10.0.0.1,,,,reflected_dos
26.002551,72,ICMP,10.0.0.53,10.0.0.1,,,,reflected_dos
27.0,72,ICMP,10.0.0.53,10.0.0.1,,,,reflected_dos
28.001492,72,ICMP,10.0.0.53,10.0.0.1,,,,reflected_dos
29.005679,72,ICMP,10.0.0.53,10.0.0.1,,,,reflected_dos
30.005145,72,ICMP,10.0.0.53,10.0.0.1,,,,reflected_dos
31.002146,72,ICMP,10.0.0.53,10.0.0.1,,,,reflected_dos
32.005226,72,ICMP,10.0.0.53,10.0.0.1,,,,reflected_dos
33.001577,72,ICMP,10.0.0.53,10.0.0.1,,,,reflected_dos
34.001614,72,ICMP,10.0.0.53,10.0.0.1,,,,reflected_dos
35.001907,72,ICMP,10.0.0.53,10.0.0.1,,,,reflected_dos
36.027022,72,ICMP,10.0.0.53,10.0.0.1,,,,reflected_dos
37.009821,72,ICMP,10.0.0.53,10.0.0.1,,,,reflected_dos
38.01188,72,ICMP,10.0.0.53,10.0.0.1,,,,reflected_dos
39.008193,72,ICMP,10.0.0.53,10.0.0.1,,,,reflected_dos
40.006302,72,ICMP,10.0.0.53,10.0.0.1,,,,reflected_dos
41.009924,72,ICMP,10.0.0.53,10.0.0.1,,,,reflected_dos
42.003548,72,ICMP,10.0.0.53,10.0.0.1,,,,reflected_dos
43.004804,72,ICMP,10.0.0.53,10.0.0.1,,,,reflected_dos
